title,url,content
"PAK vs NZ Head-to-Head Record in ODIs, Champions Trophy 2025: Pakistan vs New Zealand stats; most runs and wickets",https://sportstar.thehindu.com/cricket/champions-trophy/pak-vs-nz-head-to-head-record-odi-stats-champions-trophy-2025-new-zealand-pakistan-most-runs-wickets/article69235914.ece,"Less than a week after squaring up against each other in a tri-series, Pakistan and New Zealand will kick off the ICC Champions Trophy 2025 on Wednesday at the National Bank Stadium in Karachi. Though the Kiwis trounced the host twice within a week, it will be the high-stakes clash on Wednesday they would want to win to get their Champions Trophy campaign to a winning start. For Pakistan, life under new captain Mohammad Rizwan has begun with ODI series wins in Australia and South Africa. Rizwan would want the side to carry that momentum and begin its title defence in style."
"The ODI format, cricket’s middle child, gets new lease of life in Champions Trophy 2025",https://sportstar.thehindu.com/cricket/champions-trophy/champions-trophy-2025-return-eight-year-gap-odis-50-over-format-future-icc/article69235534.ece,"In psychology, the middle-child syndrome theorys inference is that the second-born in a familystuck between the older and younger siblingsfeels neglected or starved of parental love and attention. In recent times, the One-Day International game has become crickets middle child caught between the classical Tests and the fast-paced T20Is. It has been denied love and proper care from the players and administrators except once every four years, at the 50-over World Cup. After the inaugural World Cup in 1975, ODIs helped grow the sport over the next three decades, raking in the moolah and helping cricket join the big league in terms of commercial value despite its relatively small footprint and reach.  During the final decade of the 20th century, the format breathed fresh air into the sport thanks to a confluence of events led by the sub-continental teams. Some factors included Indias booming economy, Pakistan (1992) and Sri Lanka (1996) becoming world champions, and Bangladesh qualifying for its first World Cup in 1999. To capitalise on the success, the International Cricket Council started another multi-nation tournament, the ICC KnockOut, or the mini World Cup, in 1998 (Dhaka, Bangladesh) to fill its coffers and spread the game. After the second edition (Kenya 2000), it was renamed the ICC Champions Trophy in 2002. The event was held every two years until 2006 and became a quadrennial event from 2009 to 2017 before being discontinued. Following the inaugural T20 World Cup in 2007, it became evident that T20 would be the future of cricket. The IPL, which started in 2008, further shifted the audience to the three-hour version of the game, leading to the mushrooming of similar leagues across the cricket-playing world. At a time when the one-day format was fighting for relevance, the Champions Trophy suffered an identity crisis. Eight years ago, the apex body pulled the plug because it felt there wasnt a need for two ICC events in one format. However, in 2021, the governing body reversed course and revived the tournament. The ninth edition of this tournament will begin in Karachi on Wednesday, and there is hope that it can help ODIs get back on its feet. The bilateral ODI series, once the cash cow for cricket boards, has become meaningless sans context. But over the last few months, teams have scrambled to play some ODI games before this event in front of packed stadiums. Recently, England skipper Jos Buttler said for ODIs to thrive, the presence of top players will hold the key. A world event once every two years, alternating between the Champions Trophy and World Cup, could keep the big stars invested. Over the next three weeks, a tournament that once symbolised the sports health could hold the key to the 50-over games future and offer a pathway for its survival."
"ICC Champions Trophy 2025: Schedule, groups, knockout rules, live streaming info — All you need to know",https://sportstar.thehindu.com/cricket/champions-trophy/champions-trophy-2025-all-you-need-to-know-groups-schedule-knockout-squads-live-streaming-info/article69232451.ece,"The ICC Champions Trophy 2025 kicks off on February 19 with Pakistan facing New Zealand in Karachi, and marks the return of an ICC event to Pakistan after 29 years. Here is all you need to know about the tournament: (Each team will face the other three in its group once. The top two from each group will advance to the semifinals.) (All games will start at 2:30 pm IST) India: Rohit Sharma (c), Shubman Gill, Virat Kohli, Shreyas Iyer, KL Rahul, Rishabh Pant, Hardik Pandya, Axar Patel, Washington Sundar, Kuldeep Yadav, Harshit Rana, Mohd. Shami, Arshdeep Singh, Ravindra Jadeja, Varun Chakaravarthy. Bangladesh: Nazmul Hossain Shanto (c), Soumya Sarkar, Tanzid Hasan, Tawhid Hridoy, Mushfiqur Rahim, MD Mahmud Ullah, Jaker Ali Anik, Mehidy Hasan Miraz, Rishad Hossain, Taskin Ahmed, Mustafizur Rahman, Parvez Hossain Emon, Nasum Ahmed, Tanzim Hasan Sakib, Nahid Rana. New Zealand: Mitchell Santner (c), Michael Bracewell, Mark Chapman, Devon Conway, Kyle Jamieson, Matt Henry, Tom Latham, Daryl Mitchell, Will ORourke, Glenn Phillips, Rachin Ravindra, Nathan Smith, Kane Williamson, Will Young, Jacob Duffy. Pakistan: Mohammad Rizwan (c), Babar Azam, Fakhar Zaman, Kamran Ghulam, Saud Shakeel, Tayyab Tahir, Faheem Ashraf, Khushdil Shah, Salman Ali Agha, Usman Khan, Abrar Ahmed, Haris Rauf, Mohammad Hasnain, Naseem Shah, Shaheen Shah Afridi. Afghanistan: Hashmatullah Shahidi (c), Ibrahim Zadran, Rahmanullah Gurbaz, Sediqullah Atal, Rahmat Shah, Ikram Alikhil, Gulbadin Naib, Azmatullah Omarzai, Mohammad Nabi, Rashid Khan, Nangyal Kharoti, Noor Ahmad, Fazalhaq Farooqi, Farid Malik, Naveed Zadran. Reserves: Darwish Rasooli, Bilal Sami. England: Jos Buttler (c), Jofra Archer, Gus Atkinson, Tom Banton, Harry Brook, Brydon Carse, Ben Duckett, Jamie Overton, Jamie Smith, Liam Livingstone, Adil Rashid, Joe Root, Saqib Mahmood, Phil Salt, Mark Wood. Australia: Steve Smith (c), Sean Abbott, Alex Carey, Ben Dwarshuis, Nathan Ellis, Jake Fraser-McGurk, Aaron Hardie, Travis Head, Josh Inglis, Spencer Johnson, Marnus Labuschagne, Glenn Maxwell, Tanveer Sangha, Matthew Short, Adam Zampa. Travelling reserve: Cooper Connolly. South Africa: Temba Bavuma (c), Tony de Zorzi, Marco Jansen, Heinrich Klaasen, Keshav Maharaj, Aiden Markram, David Miller, Wiaan Mulder, Lungi Ngidi, Kagiso Rabada, Ryan Rickelton, Tabraiz Shamsi, Tristan Stubbs, Rassie van der Dussen, Corbin Bosch. Travelling reserve: Kwena Maphaka. The live streaming and broadcast for the ICC Champions Trophy 2025 will be available on the JioStar network in India (Live streaming on Jio Hotstar, Television coverage on Star and Network 18 channels)."
Champions Trophy 2025 Preview: ODI’s best eight vie for top honour as ICC competition returns to Pakistan after 29 years,https://sportstar.thehindu.com/cricket/champions-trophy/champions-trophy-2025-preview-groups-pakistan-hosting-right-icc-tournament-1996-world-cup/article69234588.ece,"When the last ICC Champions Trophy game was played at The Oval in 2017, the organisers had the dream matchup: archrivals India and Pakistan squaring off for the crown, with the latter emerging triumphant. Despite the success of that event, it was axed from the calendar and was replaced by the T20 World Cup in 2021. Eight years later, the tournament is back, with Pakistan set to host its first ICC competition since the 1996 World Cup. On Wednesday, when the home team takes on New Zealand in Karachi, it will mark a huge moment for the reigning champion and the culmination of more than half-a-decade of work to normalise international cricketing activity in the country. India, though, will not be visiting its neighbour and will play all its matches here at the Dubai International Cricket Stadium. While the focus has been on the preparations and readiness of Pakistans stadiums so far, now that the day of reckoning is here, the attention shifts to the on-field action. The idea of having only the top-eight teams was to guarantee high-quality cricket where every game mattered. Over the next three weeks the fans will hope this spirit of the tournament reflects on the pitch. Though it is tough to ascertain a clear favourite, considering sides dont play as many ODI games as before, there is a case to be made that India holds a slight edge, even if it has played only nine ODI games since the 2023 World Cup final - the fewest among the participating nations. Rohit Sharmas men blanked England 3-0 recently and have a settled combination even in the absence of pace spearhead Jaspirt Bumrah. Drawn alongside Bangladesh, Pakistan, and New Zealand in Group A, the Men in Blue should fancy themselves to reach the last four. With the home support behind it, Pakistan will want to defend its crown, but the twin defeats to New Zealand in the recent tri-series, including the final, will be weighing heavily, and Mohammad Rizwans men cant afford another reverse against the Kiwis in the opener. Having played frequently in Pakistan in recent years, the Black Caps will bank on that experience to go deep into the event. In contrast, Group B is where things could get interesting and has a potential for surprise. Australia, the ODI champion, doesnt appear strong on paper. Its bowling attack wears a thin look after losing its pace unit. Pat Cummins and Josh Hazlewood were ruled out due to injuries, while Mitchell Starc skipped for personal reasons. The 0-2 loss to Sri Lanka was not ideal preparation either. Meanwhile, South Africa comes in battered and bruised, having lost its last six ODIs, and Englands one-dimensional approach has limitations, as it found against India. Only Afghanistan, making its Champions Trophy debut, could feel confident of having a strong chance of progressing from this group. Its potent spin attack, comprising Rashid Khan, Noor Ahmad, and Mohammed Nabi, could be a handful for teams that dont play spin well. However, beyond the cricketing action, the successful conduct of the tournament could herald a new era for Pakistan."
Skipper Rizwan urges Pakistan to enjoy Champions Trophy 2025,https://sportstar.thehindu.com/cricket/champions-trophy/mohammad-rizwan-pakistan-vs-new-zealand-champions-trophy-2025-press-conference/article69233855.ece,"Pakistan skipper Mohammad Rizwan said on Tuesday the Champions Trophy would be a historic occasion for the country, a day before the host kicks the tournament off against New Zealand. The Champions Trophy is the first major cricket event hosted by Pakistan in nearly three decades and is regarded as second only to the World Cup in the One-Day Internationals. A global event has come to Pakistan after 29 years so I think the whole nation should enjoy this historic occasion, Rizwan told a news conference on the eve of the tournament, which runs until March 9. Pakistan had been due to host the tournament in 2008 but was thrown into cricketing isolation by a security crisis as violence spilled over from the long-running war in neighbouring Afghanistan. Gunmen then attacked a bus carrying Sri Lankas team in Lahore the following year, wounding several players and killing eight policemen and civilians. However, major teams have toured Pakistan in the past five years as security improved, opening the way for the cricket-mad nation to stage the tournament. Pakistan has suffered enough and for a long time, but we have also won during this phase like the 2017 Champions Trophy and the 2009 Twenty20 World Cup, Rizwan said. Still, the build-up has not been without problems after neighbour and arch-rival India refused to play in Pakistan over long-standing political tensions. India will instead play its matches in Dubai. Pakistans opponent in the tournament opener in Karachi beat it twice this month during a tri-series event that included South Africa. There shouldnt be any doubts on our performance, Rizwan said. We may not have played on our abilities but we all want to win the event for the country and people. Rizwan hoped to have pace bowler Haris Rauf on the pitch after he suffered chest muscle strain in the match against New Zealand in Lahore last week. Haris bowled 80 per cent yesterday and today he is bowling at his full rhythm and told us that he is not feeling any discomfort, so I hope he is fully fit, Rizwan said."
"Champions Trophy 2025: India will feel Bumrah’s absence very strongly, says Dhawan",https://sportstar.thehindu.com/cricket/champions-trophy/champions-trophy-2025-india-chances-jasprit-bumrah-injury-shikhar-dhawan-icc-column/article69233465.ece,"India will feel Jasprit Bumrahs absence very strongly in the Champions Trophy but it still has a great chance to win the tournament considering its recent form and a host of match-winners at its disposal, reckoned former opener Shikhar Dhawan. While the event starts in Pakistan on Wednesday, India start its campaign a day later with a match against neighbour Bangladesh at the Dubai International Cricket Stadium. Pace spearhead Bumrah was ruled out of the tournament due to a lower back injury, having taken the maximum load during Indias five-match Test series against Australia. My concern is they are going to miss Jasprit Bumrah, there is no doubt he will be a big absence and I think they will feel it very strongly, Dhawan wrote in an ICC column published on Tuesday. For me, he is the best bowler in the world, and his accuracy is hard to replicate. He is also a very calm character and that is crucial in a huge ICC event like this. Dhawan is, however, backing Shubman Gill and Harshit Rana to sizzle in the tournament. At the same time, Harshit has come into the side and I think that is really exciting - keep an eye on him, I think he could have a breakout tournament. I like his attitude, he is a go-getter and he is not afraid of anything. He accepts challenges and we have seen in the England series that he is in form. I am sure he will look to seize this opportunity and, if he does, he could provide a real X-factor for India. Going by recent form and team strength, Dhawan found it hard to look beyond India when the discussion turned to title contenders. There are a lot of reasons to be optimistic for India. They have a very balanced side, especially with the bat  there is a nice blend of experience and youth. Shubman Gill, in particular, is so consistent and he has a big role to play. I think he will have a great tournament. Rohit Sharma has found form, Virat Kohli is there; they are a top side and will take some stopping. Dhawan is also not ruling out teams such as South Africa, New Zealand, Australia and host Pakistan, to which India lost in the title clash in the last edition in the UK. I really like South Africa in this tournament as well. They have played consistent cricket and have everything you need to win such a huge tournament  experience, strength-in-depth and X-factor players like Kagiso Rabada. I also like Pakistan, they will be hard to beat in home conditions, and also New Zealand  who are just always there or there abouts. Australia have struggled in their series with Sri Lanka but they have some great batters; Travis Head is in great form, and Im really excited to see Steve Smith. Dhawan is one of the most successful batters in the tournaments history having scored 701 runs in 10 innings at an average of 77.88. He hit three centuries in the tournament, with his best being 125 against Sri Lanka in 2017. The ICC Champions Trophy means a great deal to me. We won in 2013 and then reached the final in 2017, and both times I finished as leading run-scorer, he added."
Champions Trophy 2025: Records that could be broken this year,https://sportstar.thehindu.com/cricket/champions-trophy/icc-champions-trophy-2025-virat-kohli-rohit-sharma-most-runs-records-stats-history/article69175040.ece,"The 2025 ICC Champions Trophy will commence on February 19, with Pakistan facing New Zealand in Karachi. The tournament will feature eight teams, divided into two groups of four. A total of 12 group-stage matches will be played, followed by the semifinals and the final. Here are some of the tournament records that could be broken in this edition: Indias batting mainstays, Rohit Sharma and Virat Kohli, will be aiming for the top spot in the Champions Trophys all-time run-scorers list. Kohli currently sits 11th in the standings with 529 runs, while Rohit is in 14th position with 481 runs. Chris Gayle tops the list with 791 runs. Kohli and Rohit are also well placed to break the record for the most 50+ scores in the Champions Trophy, currently held by their compatriots Shikhar Dhawan, Sourav Ganguly, and Rahul Dravid (six each). Kohli and Rohit currently have five 50+ scores in the tournament, accumulated from 13 and 10 matches, respectively. With India guaranteed at least three games in this edition, it is highly likely that one or both of them will equal or surpass the record. No batter has ever scored more than 150 in a Champions Trophy innings. The batting-friendly pitches in Pakistan could provide the ideal conditions for someone to break that barrier. The record for the highest individual score currently belongs to New Zealands Nathan Astle, who struck an unbeaten 145 against USA in 2004. Similarly, the Champions Trophy is yet to witness a 350+ total. With teams adopting a far more aggressive approach in the ODI format, it is highly likely that this edition could see that milestone being reached. The current highest team total in the competition is New Zealands 347/4, scored against USA in 2004. India could become the first team to record 20 wins in the tournament if it secures two victories in this edition. India currently has 18 wins in the Champions Trophy, four more than the next best teams, England and Sri Lanka."
Champions Trophy 2025: Lockie Ferguson ruled out; New Zealand names Jamieson as replacement,https://sportstar.thehindu.com/cricket/champions-trophy/new-zealand-champions-trophy-2025-lockie-ferguson-injury-news-kyle-jamieson-replacement-squad-schedule/article69232930.ece,"New Zealand pacer Lockie Ferguson was ruled out of the upcoming Champions Trophy 2025 due to a foot injury, announced the team on Tuesday. Ferguson suffered the injury during an informal warm-up match against Afghanistan in Karachi on Sunday and an initial medical assessment indicated he would not be fit enough to take part in the entire tournament. Were really disappointed for Lockie. Lockie is a key part of the bowling group and brings a lot of major tournament experience and we know how much he was looking forward to representing New Zealand at another major event. We wish him well for his recovery and hope he is back firing soon, said Black Caps head coach Gary Stead. The Kiwis also shared that Kyle Jamieson will replace Ferguson in the squad and will soon depart for Pakistan. Jamieson is coming on the back of a 10-month stint on the sideline rehabilitating a stress fracture in his back. He returned to domestic cricket for the Canterbury Kings in the Super Smash in December.  Kyle brings plenty of pace and extra bounce which will suit the conditions here in Pakistan. Hes shown since returning in the Super Smash how effective he can be in the shorter forms of the game, and hes bowled with real pace and energy which is what youre looking for from a pace bowler, especially at a pinnacle event, said Stead. New Zealand begins its Champions Trophy campaign on Wednesday, against Pakistan in Karachi."
"Champions Trophy 2025: Australia full squad, SWOT analysis, and key player to watch",https://sportstar.thehindu.com/cricket/champions-trophy/australia-team-preview-swot-analysis-champions-trophy-2025-squad-team-players-list/article69201693.ece,"Few teams boast a legacy in global tournaments as formidable as Australias. Heading into the 2025 ICC Champions Trophy, the reigning ODI World Cup holder arrives with a squad facing significant challenges. The absence of several key players due to injuries and retirement has forced a reshuffle, leaving Australia with a vastly different line-up from the one that lifted the World Cup trophy in 2023. Australias pace attack has long been its greatest strength, spearheaded by Pat Cummins, Josh Hazlewood, and Mitchell Starc. Between them, they have won two ODI World Cups, a T20 World Cup, and a World Test Championship, and have retained the Ashes. However, the troikas absence places additional pressure on Australias back-up pacers to step up in high-pressure situations. The task becomes even more daunting since Australia will play all its group-stage matches on the flat pitches of Rawalpindi and Lahore. Australias lack of credible spin-bowling options adds another layer of complexity. Legspinner Tanveer Sangha, who was already in Sri Lanka with the Test squad as a development player, joins Adam Zampa as a second frontline spinner. In conditions where spin could play a pivotal role, will the Aussies back one of their young spinners or rely on part-time options such as Glenn Maxwell to supplement Adam Zampa? Either way, the lack of a seasoned second spinner is a glaring issue. A broader problem facing several teams, including Australia, is the lack of ODI cricket leading into this tournament. Since lifting the World Cup trophy in India in November 2023, Australia has played only 14 ODIs, including a two-match ODI series in Sri Lanka, where Sean Abbott and Cooper Connolly, along with domestic stars Jake Fraser-McGurk, Ben Dwarshuis, Spencer Johnson, and Sangha, were added to the squad. Meanwhile, Steven Smith will captain the side in Cummins absence. This overhaul is perhaps the most significant talking point. Australia has also lost all-rounder Mitch Marsh, who was ruled out in late January due to a back injury. Adding to the upheaval, Marcus Stoinis retired from the format in early February, removing a seasoned all-round option from the mix. The batting order will also look different. David Warner has retired, while Cameron Green is unavailable following a back surgery. These absences mean Australia will need to find new solutions at the top of the order and in the middle overs, areas that were previously anchored by experienced campaigners. Player to watch out for The left-handed opener has been a key figure for Australia at the top of the order over the past 24 months. He has consistently looked to take the attack to the bowlers, defying conditions with his aggressive approach from the outset. His return to fitness during the 2023 World Cup proved pivotal, revitalising Australias campaign and culminating in his match-winning 137 against India in the final. While Head has, at times, appeared vulnerable to the short ball, his ability to counterattack remains a defining trait. With Australia placed in Group B alongside Afghanistan, England, and South Africa  all boasting pace attacks capable of exploiting this weakness  his battles against high-quality fast bowling promise to be enthralling. Adding to the intrigue is Australias round-robin fixture in Rawalpindi, a venue that, not long ago, produced a record-breaking 1,768 runs in a single Test match between England and Pakistan. Given the potential for a high-scoring encounter, Head will relish the opportunity to capitalise on favourable batting conditions. Full squad: Australia: Steve Smith (c), Sean Abbott, Alex Carey, Ben Dwarshuis, Nathan Ellis, Jake Fraser-McGurk, Aaron Hardie, Travis Head, Josh Inglis, Spencer Johnson, Marnus Labuschagne, Glenn Maxwell, Tanveer Sangha, Matthew Short, Adam Zampa. Travelling reserve: Cooper Connolly."
Top five players who have never won the ICC Champions Trophy,https://sportstar.thehindu.com/cricket/champions-trophy/legendary-players-who-never-won-champions-trophy-icc-ct-2025-news/article69188398.ece,"After a gap of eight years, the ICC Champions Trophy is set to return in a hybrid format, with Pakistan and the UAE hosting games between February 19 and March 9, 2025. There have been eight editions of the Champions Trophy held so far, with Australia and India leading the pack with two titles apiece. Here is a list of players who have missed out on winning the ICC Champions Trophy title: AB de Villiers  One of the best ODI batters of his generation with close to 10,000 runs in the format, de Villiers was part of a golden South African generation that always fell short of winning an ICC tournament. Kane Williamson  Until its success in the inaugural World Test Championship, the ICC Knockout Trophy in 2000 was New Zealands only ICC honour. The current generation of Kiwi cricketers, including former skipper Kane Williamson, continue to wait for a limited-overs title. Eoin Morgan  England broke its 50-over World Cup jinx with an inspirational yet slightly controversial victory against New Zealand in 2019 under skipper Morgan. The skipper, who is credited with turning around the countrys fortunes with some attacking cricket, unfortunately missed out on tasting success in the Champions Trophy. Shahid Afridi  Pakistans third-highest wicket-taker in ODI cricket, Afridi had a storied career in the limited-overs format, which included some mighty hits, quickfire centuries, and a few retirement announcements. The all-rounder, who led Pakistan from the front during its 2009 T20 World Cup win, however, ended his career without a Champions Trophy title. Steve Smith  From a leg-spinner to a consistent middle-order batter, Steve Smith has been a vital cog in the Australian side that won two World Cups in a decade. With over 5,600 runs and 12 centuries to his name, the 35-year-old will look to cap his 50-over career with another ICC title in the bag."
