"annotation_id","annotator","coref","created_at","id","lead_time","text","updated_at"
33,"1","[{""start"":8,""end"":24,""text"":""Champions Trophy"",""labels"":[""Entity""]},{""start"":82,""end"":90,""text"":""Pakistan"",""labels"":[""Entity""]},{""start"":98,""end"":109,""text"":""New Zealand"",""labels"":[""Entity""]},{""start"":185,""end"":187,""text"":""it"",""labels"":[""Pronoun""]},{""start"":217,""end"":226,""text"":""Australia"",""labels"":[""Entity""]},{""start"":231,""end"":236,""text"":""India"",""labels"":[""Entity""]},{""start"":259,""end"":266,""text"":""England"",""labels"":[""Entity""]}]","2025-02-23T13:22:58.709277Z",123,183.134,"The ICC Champions Trophy returns after an eight-year gap, with defending champion Pakistan facing New Zealand in Karachi on February 19. Introduced in 1998 to support non-Test nations, it was discontinued after 2017. Australia and India have won twice, while England remains the only major team without a title.","2025-02-23T13:22:58.709300Z"
34,"1","[{""start"":4,""end"":24,""text"":""ICC Champions Trophy"",""labels"":[""Entity""]},{""start"":92,""end"":103,""text"":""New Zealand"",""labels"":[""Entity""]},{""start"":76,""end"":91,""text"":""Pakistan facing"",""labels"":[""Entity""]},{""start"":107,""end"":114,""text"":""Karachi"",""labels"":[""Entity""]}]","2025-02-23T13:23:41.754873Z",124,40.684,"The ICC Champions Trophy returns after eight years, with defending champion Pakistan facing New Zealand in Karachi on February 19. Initially launched in 1998 to support non-Test nations, early editions featured up to 12 teams. Since 2009, only the top eight ICC-ranked teams participate. For 2025, Pakistan, India, Afghanistan, Australia, England, New Zealand, South Africa, and Bangladesh qualified, while past winners Sri Lanka and West Indies missed out.","2025-02-23T13:23:41.754891Z"
35,"1","[{""start"":0,""end"":12,""text"":""South Africa"",""labels"":[""Entity""]},{""start"":46,""end"":48,""text"":""it"",""labels"":[""Entity""]},{""start"":60,""end"":85,""text"":""ICC Champions Trophy 2025"",""labels"":[""Entity""]},{""start"":56,""end"":59,""text"":""its"",""labels"":[""Entity""]},{""start"":103,""end"":114,""text"":""Afghanistan"",""labels"":[""Entity""]},{""start"":118,""end"":125,""text"":""Karachi"",""labels"":[""Entity""]},{""start"":141,""end"":148,""text"":""Proteas"",""labels"":[""PartName""]},{""start"":245,""end"":257,""text"":""Temba Bavuma"",""labels"":[""Entity""]},{""start"":263,""end"":276,""text"":""Tony de Zorzi"",""labels"":[""Entity""]},{""start"":209,""end"":213,""text"":""they"",""labels"":[""Entity""]}]","2025-02-23T13:27:17.128210Z",125,213.732,"South Africa will bid for a second title when it begins its ICC Champions Trophy 2025 campaign against Afghanistan in Karachi on Friday. The Proteas won the tournament in the inaugural edition, in 1998, after they beat West Indies in the final. Temba Bavuma (c), Tony de Zorzi, Marco Jansen, Heinrich Klaasen, Keshav Maharaj, Aiden Markram, David Miller, Wiaan Mulder, Lungi Ngidi, Kagiso Rabada, Ryan Rickelton, Tabraiz Shamsi, Tristan Stubbs, Rassie van der Dussen, Corbin Bosch.","2025-02-23T13:27:17.128237Z"
36,"1","[{""start"":0,""end"":10,""text"":""Bangladesh"",""labels"":[""Entity""]},{""start"":21,""end"":24,""text"":""its"",""labels"":[""Pronoun""]},{""start"":74,""end"":76,""text"":""it"",""labels"":[""Pronoun""]},{""start"":114,""end"":125,""text"":""Bangladeshs"",""labels"":[""Pronoun""]},{""start"":181,""end"":183,""text"":""it"",""labels"":[""Pronoun""]},{""start"":219,""end"":221,""text"":""it"",""labels"":[""Pronoun""]},{""start"":25,""end"":50,""text"":""ICC Champions Trophy 2025"",""labels"":[""Entity""]},{""start"":86,""end"":91,""text"":""India"",""labels"":[""Entity""]},{""start"":230,""end"":235,""text"":""India"",""labels"":[""Entity""]}]","2025-02-23T13:29:11.656904Z",126,110.166,"Bangladesh will gets its ICC Champions Trophy 2025 campaign underway when it takes on India in Dubai on Thursday. Bangladeshs best performance in the competition came in 2017, when it qualified for the semifinal, where it lost to India. Nazmul Hossain Shanto (c), Soumya Sarkar, Tanzid Hasan, Tawhid Hridoy, Mushfiqur Rahim, Mahmud Ullah, Jaker Ali Anik, Mehidy Hasan Miraz, Rishad Hossain, Taskin Ahmed, Mustafizur Rahman, Parvez Hossain Emon, Nasum Ahmed, Tanzim Hasan Sakib, Nahid Rana","2025-02-23T13:29:11.656927Z"
37,"1","[{""start"":5,""end"":13,""text"":""Pakistan"",""labels"":[""Entity""]},{""start"":0,""end"":4,""text"":""Host"",""labels"":[""Entity""]},{""start"":21,""end"":24,""text"":""its"",""labels"":[""Pronoun""]},{""start"":151,""end"":154,""text"":""its"",""labels"":[""Pronoun""]},{""start"":25,""end"":45,""text"":""ICC Champions Trophy"",""labels"":[""Entity""]},{""start"":81,""end"":92,""text"":""New Zealand"",""labels"":[""Entity""]},{""start"":183,""end"":188,""text"":""India"",""labels"":[""Entity""]},{""start"":273,""end"":282,""text"":""ICC event"",""labels"":[""Entity""]}]","2025-02-23T13:30:06.416659Z",127,53.567,"Host Pakistan begins its ICC Champions Trophy title defense on Wednesday against New Zealand in Karachi. The 2017 triumph under Sarfaraz Ahmed remains its only title, secured against India in the final. This time, Mohammad Rizwan leads the side in front of home fans at an ICC event. Mohammad Rizwan (c), Babar Azam, Fakhar Zaman, Kamran Ghulam, Saud Shakeel, Tayyab Tahir, Faheem Ashraf, Khushdil Shah, Salman Ali Agha, Usman Khan, Abrar Ahmed, Haris Rauf, Mohammad Hasnain, Naseem Shah, Shaheen Shah Afridi.","2025-02-23T13:30:06.416679Z"
38,"1","[{""start"":0,""end"":7,""text"":""England"",""labels"":[""Entity""]},{""start"":18,""end"":20,""text"":""it"",""labels"":[""Pronoun""]},{""start"":37,""end"":40,""text"":""its"",""labels"":[""Pronoun""]},{""start"":80,""end"":82,""text"":""it"",""labels"":[""Pronoun""]},{""start"":153,""end"":168,""text"":""The Three Lions"",""labels"":[""PartName""]},{""start"":242,""end"":249,""text"":""England"",""labels"":[""Entity""]},{""start"":251,""end"":259,""text"":""The side"",""labels"":[""Entity""]}]","2025-02-23T13:31:47.697088Z",128,75.949,"England will hope it can finally get its hands on the ICC Champions Trophy when it begins the 2025 campaign against Australia in Karachi on February 26. The Three Lions have ended runner-up twice, in 2013 and 2004  the two editions played in England. The side has also reached the semifinals in 2017 and 2009. Jos Buttler (c), Jofra Archer, Gus Atkinson, Tom Banton, Harry Brook, Brydon Carse, Ben Duckett, Jamie Overton, Jamie Smith, Liam Livingstone, Adil Rashid, Joe Root, Saqib Mahmood, Phil Salt, Mark Wood.","2025-02-23T13:31:47.697144Z"
39,"1","[{""start"":0,""end"":11,""text"":""New Zealand"",""labels"":[""Entity""]},{""start"":42,""end"":62,""text"":""ICC Champions Trophy"",""labels"":[""Entity""]},{""start"":76,""end"":88,""text"":""ICC Knockout"",""labels"":[""Entity""]},{""start"":117,""end"":120,""text"":""its"",""labels"":[""Pronoun""]},{""start"":94,""end"":97,""text"":""has"",""labels"":[""Pronoun""]},{""start"":148,""end"":150,""text"":""It"",""labels"":[""Pronoun""]},{""start"":233,""end"":247,""text"":""The Black Caps"",""labels"":[""PartName""]}]","2025-02-23T13:33:46.349082Z",129,103.708,"New Zealand won the second edition of the ICC Champions Trophy, then called ICC Knockout, but has had to wait to get its hands on the trophy since. It managed a runner-up finish in the 2009 edition, losing to Australia in the final. The Black Caps have failed to make it past the group stage since the last two editions. Mitchell Santner (c), Michael Bracewell, Mark Chapman, Devon Conway, Lockie Ferguson, Matt Henry, Tom Latham, Daryl Mitchell, Will ORourke, Glenn Phillips, Rachin Ravindra, Nathan Smith, Kane Williamson, Will Young, Jacob Duffy.","2025-02-23T13:33:46.349102Z"
40,"1","[{""start"":71,""end"":79,""text"":""Pakistan"",""labels"":[""Entity""]},{""start"":84,""end"":95,""text"":""New Zealand"",""labels"":[""Entity""]},{""start"":114,""end"":134,""text"":""ICC Champions Trophy"",""labels"":[""Entity""]},{""start"":143,""end"":152,""text"":""Wednesday"",""labels"":[""Entity""]},{""start"":201,""end"":210,""text"":""the Kiwis"",""labels"":[""PartName""]},{""start"":220,""end"":228,""text"":""the host"",""labels"":[""PartName""]},{""start"":286,""end"":295,""text"":""Wednesday"",""labels"":[""Entity""]},{""start"":332,""end"":348,""text"":""Champions Trophy"",""labels"":[""Entity""]},{""start"":382,""end"":390,""text"":""Pakistan"",""labels"":[""Entity""]},{""start"":415,""end"":430,""text"":""Mohammad Rizwan"",""labels"":[""Entity""]},{""start"":493,""end"":499,""text"":""Rizwan"",""labels"":[""Abbr.""]}]","2025-02-23T13:35:25.454415Z",130,97.063,"Less than a week after squaring up against each other in a tri-series, Pakistan and New Zealand will kick off the ICC Champions Trophy 2025 on Wednesday at the National Bank Stadium in Karachi. Though the Kiwis trounced the host twice within a week, it will be the high-stakes clash on Wednesday they would want to win to get their Champions Trophy campaign to a winning start. For Pakistan, life under new captain Mohammad Rizwan has begun with ODI series wins in Australia and South Africa. Rizwan would want the side to carry that momentum and begin its title defence in style.","2025-02-23T13:35:25.454436Z"
41,"1","[{""start"":0,""end"":5,""text"":""India"",""labels"":[""Entity""]},{""start"":38,""end"":40,""text"":""it"",""labels"":[""Pronoun""]},{""start"":52,""end"":72,""text"":""ICC Champions Trophy"",""labels"":[""Entity""]},{""start"":48,""end"":51,""text"":""its"",""labels"":[""Pronoun""]},{""start"":128,""end"":133,""text"":""India"",""labels"":[""Entity""]},{""start"":304,""end"":324,""text"":""ICC Champions Trophy"",""labels"":[""Entity""]},{""start"":346,""end"":357,""text"":""Men in Blue"",""labels"":[""PartName""]}]","2025-02-23T13:37:40.531886Z",131,126.479,"India will bid for a third title when it begins its ICC Champions Trophy 2025 campaign against Bangladesh in Dubai on Thursday. India won the tournament in 2002 (joint-winner with Sri Lanka) and 2013, before losing to archrival Pakistan in the final in 2017. Only two-time champion Australia has won the ICC Champions Trophy as many times as the Men in Blue. Rohit Sharma (c), Shubman Gill (vc), Virat Kohli, Shreyas Iyer, KL Rahul (wk), Rishabh Pant (wk), Hardik Pandya, Axar Patel, Washington Sundar, Kuldeep Yadav, Harshit Rana, Mohammed Shami, Arshdeep Singh, Ravindra Jadeja, Varun Chakaravarthy.","2025-02-23T13:37:40.531906Z"
42,"1","[{""start"":9,""end"":29,""text"":""ICC Champions Trophy"",""labels"":[""Entity""]},{""start"":520,""end"":531,""text"":""Afghanistan"",""labels"":[""Entity""]},{""start"":431,""end"":442,""text"":""Afghanistan"",""labels"":[""Entity""]},{""start"":393,""end"":404,""text"":""New Zealand"",""labels"":[""Entity""]},{""start"":286,""end"":294,""text"":""Pakistan"",""labels"":[""Entity""]},{""start"":65,""end"":73,""text"":""Pakistan"",""labels"":[""Entity""]},{""start"":81,""end"":92,""text"":""New Zealand"",""labels"":[""Entity""]}]","2025-02-23T13:39:44.614336Z",132,113.205,"The 2025 ICC Champions Trophy will commence on February 19, with Pakistan facing New Zealand in Karachi. The tournament will feature eight teams divided into two groups of four. A total of 12 group-stage matches will be played, followed by the semifinals and final. As the host nation, Pakistan secured automatic qualification, while the remaining seven teams  India, Australia, South Africa, New Zealand, England, Bangladesh, and Afghanistan  earned their spots by finishing in the top seven at the 2023 ODI World Cup. Afghanistan will make its debut in the tournament, while former champion Sri Lanka failed to qualify.","2025-02-23T13:39:44.614362Z"
