annotation_id,annotator,coref,created_at,id,lead_time,text,updated_at
1,1,"[{""start"": 0, ""end"": 3, ""text"": ""The ICC Champions Trophy"", ""labels"": [""Entity""]}, {""start"": 7, ""end"": 9, ""text"": ""eight-year"", ""labels"": [""Entity""]}, {""start"": 15, ""end"": 15, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 17, ""end"": 18, ""text"": ""New Zealand"", ""labels"": [""Entity""]}, {""start"": 20, ""end"": 20, ""text"": ""Karachi"", ""labels"": [""Entity""]}, {""start"": 22, ""end"": 23, ""text"": ""February 19"", ""labels"": [""Entity""]}, {""start"": 35, ""end"": 35, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 41, ""end"": 41, ""text"": ""Australia"", ""labels"": [""Entity""]}, {""start"": 43, ""end"": 43, ""text"": ""India"", ""labels"": [""Entity""]}, {""start"": 49, ""end"": 49, ""text"": ""England"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,123,180.0,"The ICC Champions Trophy returns after an eight-year gap, with defending champion Pakistan facing New Zealand in Karachi on February 19. Introduced in 1998 to support non-Test nations, it was discontinued after 2017. Australia and India have won twice, while England remains the only major team without a title.",2025-02-23T15:48:27.279308Z
2,1,"[{""start"": 0, ""end"": 3, ""text"": ""The ICC Champions Trophy"", ""labels"": [""Entity""]}, {""start"": 6, ""end"": 7, ""text"": ""eight years"", ""labels"": [""Entity""]}, {""start"": 12, ""end"": 12, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 14, ""end"": 15, ""text"": ""New Zealand"", ""labels"": [""Entity""]}, {""start"": 17, ""end"": 17, ""text"": ""Karachi"", ""labels"": [""Entity""]}, {""start"": 19, ""end"": 20, ""text"": ""February 19"", ""labels"": [""Entity""]}, {""start"": 57, ""end"": 57, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 59, ""end"": 59, ""text"": ""India"", ""labels"": [""Entity""]}, {""start"": 61, ""end"": 61, ""text"": ""Afghanistan"", ""labels"": [""Entity""]}, {""start"": 63, ""end"": 63, ""text"": ""Australia"", ""labels"": [""Entity""]}, {""start"": 65, ""end"": 65, ""text"": ""England"", ""labels"": [""Entity""]}, {""start"": 67, ""end"": 68, ""text"": ""New Zealand"", ""labels"": [""Entity""]}, {""start"": 70, ""end"": 71, ""text"": ""South Africa"", ""labels"": [""Entity""]}, {""start"": 74, ""end"": 74, ""text"": ""Bangladesh"", ""labels"": [""Entity""]}, {""start"": 80, ""end"": 81, ""text"": ""Sri Lanka"", ""labels"": [""Entity""]}, {""start"": 83, ""end"": 84, ""text"": ""West Indies"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,124,180.0,"The ICC Champions Trophy returns after eight years, with defending champion Pakistan facing New Zealand in Karachi on February 19. Initially launched in 1998 to support non-Test nations, early editions featured up to 12 teams. Since 2009, only the top eight ICC-ranked teams participate. For 2025, Pakistan, India, Afghanistan, Australia, England, New Zealand, South Africa, and Bangladesh qualified, while past winners Sri Lanka and West Indies missed out.",2025-02-23T15:48:27.279308Z
3,1,"[{""start"": 0, ""end"": 1, ""text"": ""South Africa"", ""labels"": [""Entity""]}, {""start"": 9, ""end"": 9, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 11, ""end"": 11, ""text"": ""its"", ""labels"": [""Pronoun""]}, {""start"": 18, ""end"": 18, ""text"": ""Afghanistan"", ""labels"": [""Entity""]}, {""start"": 20, ""end"": 20, ""text"": ""Karachi"", ""labels"": [""Entity""]}, {""start"": 22, ""end"": 22, ""text"": ""Friday"", ""labels"": [""Entity""]}, {""start"": 25, ""end"": 25, ""text"": ""Proteas"", ""labels"": [""Entity""]}, {""start"": 38, ""end"": 38, ""text"": ""they"", ""labels"": [""Pronoun""]}, {""start"": 40, ""end"": 41, ""text"": ""West Indies"", ""labels"": [""Entity""]}, {""start"": 46, ""end"": 47, ""text"": ""Temba Bavuma"", ""labels"": [""Entity""]}, {""start"": 52, ""end"": 54, ""text"": ""Tony de Zorzi"", ""labels"": [""Entity""]}, {""start"": 56, ""end"": 57, ""text"": ""Marco Jansen"", ""labels"": [""Entity""]}, {""start"": 59, ""end"": 60, ""text"": ""Heinrich Klaasen"", ""labels"": [""Entity""]}, {""start"": 62, ""end"": 63, ""text"": ""Keshav Maharaj"", ""labels"": [""Entity""]}, {""start"": 65, ""end"": 66, ""text"": ""Aiden Markram"", ""labels"": [""Entity""]}, {""start"": 68, ""end"": 69, ""text"": ""David Miller"", ""labels"": [""Entity""]}, {""start"": 71, ""end"": 72, ""text"": ""Wiaan Mulder"", ""labels"": [""Entity""]}, {""start"": 74, ""end"": 75, ""text"": ""Lungi Ngidi"", ""labels"": [""Entity""]}, {""start"": 77, ""end"": 78, ""text"": ""Kagiso Rabada"", ""labels"": [""Entity""]}, {""start"": 80, ""end"": 81, ""text"": ""Ryan Rickelton"", ""labels"": [""Entity""]}, {""start"": 83, ""end"": 84, ""text"": ""Tabraiz Shamsi"", ""labels"": [""Entity""]}, {""start"": 86, ""end"": 87, ""text"": ""Tristan Stubbs"", ""labels"": [""Entity""]}, {""start"": 89, ""end"": 92, ""text"": ""Rassie van der Dussen"", ""labels"": [""Entity""]}, {""start"": 94, ""end"": 95, ""text"": ""Corbin Bosch"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,125,180.0,"South Africa will bid for a second title when it begins its ICC Champions Trophy 2025 campaign against Afghanistan in Karachi on Friday. The Proteas won the tournament in the inaugural edition, in 1998, after they beat West Indies in the final. Temba Bavuma (c), Tony de Zorzi, Marco Jansen, Heinrich Klaasen, Keshav Maharaj, Aiden Markram, David Miller, Wiaan Mulder, Lungi Ngidi, Kagiso Rabada, Ryan Rickelton, Tabraiz Shamsi, Tristan Stubbs, Rassie van der Dussen, Corbin Bosch.",2025-02-23T15:48:27.279308Z
4,1,"[{""start"": 0, ""end"": 0, ""text"": ""Bangladesh"", ""labels"": [""Entity""]}, {""start"": 3, ""end"": 3, ""text"": ""its"", ""labels"": [""Pronoun""]}, {""start"": 11, ""end"": 11, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 14, ""end"": 14, ""text"": ""India"", ""labels"": [""Entity""]}, {""start"": 16, ""end"": 16, ""text"": ""Dubai"", ""labels"": [""Entity""]}, {""start"": 18, ""end"": 18, ""text"": ""Thursday"", ""labels"": [""Entity""]}, {""start"": 31, ""end"": 31, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 38, ""end"": 38, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 41, ""end"": 41, ""text"": ""India"", ""labels"": [""Entity""]}, {""start"": 43, ""end"": 45, ""text"": ""Nazmul Hossain Shanto"", ""labels"": [""Entity""]}, {""start"": 50, ""end"": 51, ""text"": ""Soumya Sarkar"", ""labels"": [""Entity""]}, {""start"": 53, ""end"": 54, ""text"": ""Tanzid Hasan"", ""labels"": [""Entity""]}, {""start"": 56, ""end"": 57, ""text"": ""Tawhid Hridoy"", ""labels"": [""Entity""]}, {""start"": 59, ""end"": 60, ""text"": ""Mushfiqur Rahim"", ""labels"": [""Entity""]}, {""start"": 62, ""end"": 63, ""text"": ""Mahmud Ullah"", ""labels"": [""Entity""]}, {""start"": 65, ""end"": 67, ""text"": ""Jaker Ali Anik"", ""labels"": [""Entity""]}, {""start"": 69, ""end"": 71, ""text"": ""Mehidy Hasan Miraz"", ""labels"": [""Entity""]}, {""start"": 73, ""end"": 74, ""text"": ""Rishad Hossain"", ""labels"": [""Entity""]}, {""start"": 76, ""end"": 77, ""text"": ""Taskin Ahmed"", ""labels"": [""Entity""]}, {""start"": 79, ""end"": 80, ""text"": ""Mustafizur Rahman"", ""labels"": [""Entity""]}, {""start"": 82, ""end"": 84, ""text"": ""Parvez Hossain Emon"", ""labels"": [""Entity""]}, {""start"": 86, ""end"": 87, ""text"": ""Nasum Ahmed"", ""labels"": [""Entity""]}, {""start"": 90, ""end"": 91, ""text"": ""Hasan Sakib"", ""labels"": [""Entity""]}, {""start"": 93, ""end"": 94, ""text"": ""Nahid Rana"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,126,180.0,"Bangladesh will gets its ICC Champions Trophy 2025 campaign underway when it takes on India in Dubai on Thursday. Bangladeshs best performance in the competition came in 2017, when it qualified for the semifinal, where it lost to India. Nazmul Hossain Shanto (c), Soumya Sarkar, Tanzid Hasan, Tawhid Hridoy, Mushfiqur Rahim, Mahmud Ullah, Jaker Ali Anik, Mehidy Hasan Miraz, Rishad Hossain, Taskin Ahmed, Mustafizur Rahman, Parvez Hossain Emon, Nasum Ahmed, Tanzim Hasan Sakib, Nahid Rana",2025-02-23T15:48:27.279308Z
5,1,"[{""start"": 1, ""end"": 1, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 3, ""end"": 3, ""text"": ""its"", ""labels"": [""Pronoun""]}, {""start"": 10, ""end"": 10, ""text"": ""Wednesday"", ""labels"": [""Entity""]}, {""start"": 12, ""end"": 13, ""text"": ""New Zealand"", ""labels"": [""Entity""]}, {""start"": 15, ""end"": 15, ""text"": ""Karachi"", ""labels"": [""Entity""]}, {""start"": 21, ""end"": 22, ""text"": ""Sarfaraz Ahmed"", ""labels"": [""Entity""]}, {""start"": 24, ""end"": 24, ""text"": ""its"", ""labels"": [""Pronoun""]}, {""start"": 30, ""end"": 30, ""text"": ""India"", ""labels"": [""Entity""]}, {""start"": 38, ""end"": 39, ""text"": ""Mohammad Rizwan"", ""labels"": [""Entity""]}, {""start"": 53, ""end"": 54, ""text"": ""Mohammad Rizwan"", ""labels"": [""Entity""]}, {""start"": 59, ""end"": 60, ""text"": ""Babar Azam"", ""labels"": [""Entity""]}, {""start"": 62, ""end"": 63, ""text"": ""Fakhar Zaman"", ""labels"": [""Entity""]}, {""start"": 65, ""end"": 66, ""text"": ""Kamran Ghulam"", ""labels"": [""Entity""]}, {""start"": 68, ""end"": 69, ""text"": ""Saud Shakeel"", ""labels"": [""Entity""]}, {""start"": 71, ""end"": 72, ""text"": ""Tayyab Tahir"", ""labels"": [""Entity""]}, {""start"": 74, ""end"": 75, ""text"": ""Faheem Ashraf"", ""labels"": [""Entity""]}, {""start"": 77, ""end"": 78, ""text"": ""Khushdil Shah"", ""labels"": [""Entity""]}, {""start"": 80, ""end"": 82, ""text"": ""Salman Ali Agha"", ""labels"": [""Entity""]}, {""start"": 84, ""end"": 85, ""text"": ""Usman Khan"", ""labels"": [""Entity""]}, {""start"": 87, ""end"": 88, ""text"": ""Abrar Ahmed"", ""labels"": [""Entity""]}, {""start"": 90, ""end"": 91, ""text"": ""Haris Rauf"", ""labels"": [""Entity""]}, {""start"": 93, ""end"": 94, ""text"": ""Mohammad Hasnain"", ""labels"": [""Entity""]}, {""start"": 96, ""end"": 97, ""text"": ""Naseem Shah"", ""labels"": [""Entity""]}, {""start"": 99, ""end"": 101, ""text"": ""Shaheen Shah Afridi"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,127,180.0,"Host Pakistan begins its ICC Champions Trophy title defense on Wednesday against New Zealand in Karachi. The 2017 triumph under Sarfaraz Ahmed remains its only title, secured against India in the final. This time, Mohammad Rizwan leads the side in front of home fans at an ICC event. Mohammad Rizwan (c), Babar Azam, Fakhar Zaman, Kamran Ghulam, Saud Shakeel, Tayyab Tahir, Faheem Ashraf, Khushdil Shah, Salman Ali Agha, Usman Khan, Abrar Ahmed, Haris Rauf, Mohammad Hasnain, Naseem Shah, Shaheen Shah Afridi.",2025-02-23T15:48:27.279308Z
6,1,"[{""start"": 0, ""end"": 0, ""text"": ""England"", ""labels"": [""Entity""]}, {""start"": 3, ""end"": 3, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 7, ""end"": 7, ""text"": ""its"", ""labels"": [""Pronoun""]}, {""start"": 10, ""end"": 13, ""text"": ""the ICC Champions Trophy"", ""labels"": [""Entity""]}, {""start"": 15, ""end"": 15, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 21, ""end"": 21, ""text"": ""Australia"", ""labels"": [""Entity""]}, {""start"": 23, ""end"": 23, ""text"": ""Karachi"", ""labels"": [""Entity""]}, {""start"": 25, ""end"": 26, ""text"": ""February 26"", ""labels"": [""Entity""]}, {""start"": 28, ""end"": 30, ""text"": ""The Three Lions"", ""labels"": [""Entity""]}, {""start"": 48, ""end"": 48, ""text"": ""England"", ""labels"": [""Entity""]}, {""start"": 62, ""end"": 63, ""text"": ""Jos Buttler"", ""labels"": [""Entity""]}, {""start"": 68, ""end"": 69, ""text"": ""Jofra Archer"", ""labels"": [""Entity""]}, {""start"": 71, ""end"": 72, ""text"": ""Gus Atkinson"", ""labels"": [""Entity""]}, {""start"": 74, ""end"": 75, ""text"": ""Tom Banton"", ""labels"": [""Entity""]}, {""start"": 77, ""end"": 78, ""text"": ""Harry Brook"", ""labels"": [""Entity""]}, {""start"": 80, ""end"": 81, ""text"": ""Brydon Carse"", ""labels"": [""Entity""]}, {""start"": 83, ""end"": 84, ""text"": ""Ben Duckett"", ""labels"": [""Entity""]}, {""start"": 86, ""end"": 87, ""text"": ""Jamie Overton"", ""labels"": [""Entity""]}, {""start"": 89, ""end"": 90, ""text"": ""Jamie Smith"", ""labels"": [""Entity""]}, {""start"": 92, ""end"": 93, ""text"": ""Liam Livingstone"", ""labels"": [""Entity""]}, {""start"": 98, ""end"": 99, ""text"": ""Joe Root"", ""labels"": [""Entity""]}, {""start"": 101, ""end"": 102, ""text"": ""Saqib Mahmood"", ""labels"": [""Entity""]}, {""start"": 104, ""end"": 105, ""text"": ""Phil Salt"", ""labels"": [""Entity""]}, {""start"": 107, ""end"": 108, ""text"": ""Mark Wood"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,128,180.0,"England will hope it can finally get its hands on the ICC Champions Trophy when it begins the 2025 campaign against Australia in Karachi on February 26. The Three Lions have ended runner-up twice, in 2013 and 2004  the two editions played in England. The side has also reached the semifinals in 2017 and 2009. Jos Buttler (c), Jofra Archer, Gus Atkinson, Tom Banton, Harry Brook, Brydon Carse, Ben Duckett, Jamie Overton, Jamie Smith, Liam Livingstone, Adil Rashid, Joe Root, Saqib Mahmood, Phil Salt, Mark Wood.",2025-02-23T15:48:27.279308Z
7,1,"[{""start"": 0, ""end"": 1, ""text"": ""New Zealand"", ""labels"": [""Entity""]}, {""start"": 7, ""end"": 10, ""text"": ""the ICC Champions Trophy"", ""labels"": [""Entity""]}, {""start"": 14, ""end"": 15, ""text"": ""ICC Knockout"", ""labels"": [""Entity""]}, {""start"": 24, ""end"": 24, ""text"": ""its"", ""labels"": [""Pronoun""]}, {""start"": 31, ""end"": 31, ""text"": ""It"", ""labels"": [""Pronoun""]}, {""start"": 45, ""end"": 45, ""text"": ""Australia"", ""labels"": [""Entity""]}, {""start"": 57, ""end"": 57, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 68, ""end"": 69, ""text"": ""Mitchell Santner"", ""labels"": [""Entity""]}, {""start"": 74, ""end"": 75, ""text"": ""Michael Bracewell"", ""labels"": [""Entity""]}, {""start"": 77, ""end"": 78, ""text"": ""Mark Chapman"", ""labels"": [""Entity""]}, {""start"": 80, ""end"": 81, ""text"": ""Devon Conway"", ""labels"": [""Entity""]}, {""start"": 83, ""end"": 84, ""text"": ""Lockie Ferguson"", ""labels"": [""Entity""]}, {""start"": 86, ""end"": 87, ""text"": ""Matt Henry"", ""labels"": [""Entity""]}, {""start"": 89, ""end"": 90, ""text"": ""Tom Latham"", ""labels"": [""Entity""]}, {""start"": 92, ""end"": 93, ""text"": ""Daryl Mitchell"", ""labels"": [""Entity""]}, {""start"": 95, ""end"": 96, ""text"": ""Will ORourke"", ""labels"": [""Entity""]}, {""start"": 98, ""end"": 99, ""text"": ""Glenn Phillips"", ""labels"": [""Entity""]}, {""start"": 101, ""end"": 102, ""text"": ""Rachin Ravindra"", ""labels"": [""Entity""]}, {""start"": 104, ""end"": 105, ""text"": ""Nathan Smith"", ""labels"": [""Entity""]}, {""start"": 107, ""end"": 108, ""text"": ""Kane Williamson"", ""labels"": [""Entity""]}, {""start"": 110, ""end"": 111, ""text"": ""Will Young"", ""labels"": [""Entity""]}, {""start"": 113, ""end"": 114, ""text"": ""Jacob Duffy"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,129,180.0,"New Zealand won the second edition of the ICC Champions Trophy, then called ICC Knockout, but has had to wait to get its hands on the trophy since. It managed a runner-up finish in the 2009 edition, losing to Australia in the final. The Black Caps have failed to make it past the group stage since the last two editions. Mitchell Santner (c), Michael Bracewell, Mark Chapman, Devon Conway, Lockie Ferguson, Matt Henry, Tom Latham, Daryl Mitchell, Will ORourke, Glenn Phillips, Rachin Ravindra, Nathan Smith, Kane Williamson, Will Young, Jacob Duffy.",2025-02-23T15:48:27.279308Z
8,1,"[{""start"": 0, ""end"": 3, ""text"": ""Less than a week"", ""labels"": [""Entity""]}, {""start"": 2, ""end"": 2, ""text"": ""a"", ""labels"": [""Pronoun""]}, {""start"": 16, ""end"": 16, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 18, ""end"": 19, ""text"": ""New Zealand"", ""labels"": [""Entity""]}, {""start"": 29, ""end"": 29, ""text"": ""Wednesday"", ""labels"": [""Entity""]}, {""start"": 31, ""end"": 34, ""text"": ""the National Bank Stadium"", ""labels"": [""Entity""]}, {""start"": 36, ""end"": 36, ""text"": ""Karachi"", ""labels"": [""Entity""]}, {""start"": 40, ""end"": 40, ""text"": ""Kiwis"", ""labels"": [""Entity""]}, {""start"": 46, ""end"": 47, ""text"": ""a week"", ""labels"": [""Entity""]}, {""start"": 49, ""end"": 49, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 58, ""end"": 58, ""text"": ""Wednesday"", ""labels"": [""Entity""]}, {""start"": 59, ""end"": 59, ""text"": ""they"", ""labels"": [""Pronoun""]}, {""start"": 66, ""end"": 66, ""text"": ""their"", ""labels"": [""Pronoun""]}, {""start"": 67, ""end"": 68, ""text"": ""Champions Trophy"", ""labels"": [""Entity""]}, {""start"": 76, ""end"": 76, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 82, ""end"": 83, ""text"": ""Mohammad Rizwan"", ""labels"": [""Entity""]}, {""start"": 87, ""end"": 87, ""text"": ""ODI"", ""labels"": [""Entity""]}, {""start"": 91, ""end"": 91, ""text"": ""Australia"", ""labels"": [""Entity""]}, {""start"": 93, ""end"": 94, ""text"": ""South Africa"", ""labels"": [""Entity""]}, {""start"": 96, ""end"": 96, ""text"": ""Rizwan"", ""labels"": [""Entity""]}, {""start"": 107, ""end"": 107, ""text"": ""its"", ""labels"": [""Pronoun""]}]",2025-02-23T15:48:27.279308Z,130,180.0,"Less than a week after squaring up against each other in a tri-series, Pakistan and New Zealand will kick off the ICC Champions Trophy 2025 on Wednesday at the National Bank Stadium in Karachi. Though the Kiwis trounced the host twice within a week, it will be the high-stakes clash on Wednesday they would want to win to get their Champions Trophy campaign to a winning start. For Pakistan, life under new captain Mohammad Rizwan has begun with ODI series wins in Australia and South Africa. Rizwan would want the side to carry that momentum and begin its title defence in style.",2025-02-23T15:48:27.279308Z
9,1,"[{""start"": 0, ""end"": 0, ""text"": ""India"", ""labels"": [""Entity""]}, {""start"": 8, ""end"": 8, ""text"": ""it"", ""labels"": [""Pronoun""]}, {""start"": 10, ""end"": 10, ""text"": ""its"", ""labels"": [""Pronoun""]}, {""start"": 17, ""end"": 17, ""text"": ""Bangladesh"", ""labels"": [""Entity""]}, {""start"": 19, ""end"": 19, ""text"": ""Dubai"", ""labels"": [""Entity""]}, {""start"": 21, ""end"": 21, ""text"": ""Thursday"", ""labels"": [""Entity""]}, {""start"": 23, ""end"": 23, ""text"": ""India"", ""labels"": [""Entity""]}, {""start"": 34, ""end"": 35, ""text"": ""Sri Lanka"", ""labels"": [""Entity""]}, {""start"": 44, ""end"": 44, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 56, ""end"": 56, ""text"": ""Australia"", ""labels"": [""Entity""]}, {""start"": 59, ""end"": 62, ""text"": ""the ICC Champions Trophy"", ""labels"": [""Entity""]}, {""start"": 67, ""end"": 70, ""text"": ""the Men in Blue"", ""labels"": [""Entity""]}, {""start"": 72, ""end"": 73, ""text"": ""Rohit Sharma"", ""labels"": [""Entity""]}, {""start"": 78, ""end"": 79, ""text"": ""Shubman Gill"", ""labels"": [""Entity""]}, {""start"": 84, ""end"": 85, ""text"": ""Virat Kohli"", ""labels"": [""Entity""]}, {""start"": 87, ""end"": 88, ""text"": ""Shreyas Iyer"", ""labels"": [""Entity""]}, {""start"": 90, ""end"": 91, ""text"": ""KL Rahul"", ""labels"": [""Entity""]}, {""start"": 96, ""end"": 97, ""text"": ""Rishabh Pant"", ""labels"": [""Entity""]}, {""start"": 102, ""end"": 103, ""text"": ""Hardik Pandya"", ""labels"": [""Entity""]}, {""start"": 105, ""end"": 106, ""text"": ""Axar Patel"", ""labels"": [""Entity""]}, {""start"": 108, ""end"": 109, ""text"": ""Washington Sundar"", ""labels"": [""Entity""]}, {""start"": 111, ""end"": 112, ""text"": ""Kuldeep Yadav"", ""labels"": [""Entity""]}, {""start"": 114, ""end"": 115, ""text"": ""Harshit Rana"", ""labels"": [""Entity""]}, {""start"": 117, ""end"": 118, ""text"": ""Mohammed Shami"", ""labels"": [""Entity""]}, {""start"": 120, ""end"": 121, ""text"": ""Arshdeep Singh"", ""labels"": [""Entity""]}, {""start"": 123, ""end"": 124, ""text"": ""Ravindra Jadeja"", ""labels"": [""Entity""]}, {""start"": 126, ""end"": 127, ""text"": ""Varun Chakaravarthy"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,131,180.0,"India will bid for a third title when it begins its ICC Champions Trophy 2025 campaign against Bangladesh in Dubai on Thursday. India won the tournament in 2002 (joint-winner with Sri Lanka) and 2013, before losing to archrival Pakistan in the final in 2017. Only two-time champion Australia has won the ICC Champions Trophy as many times as the Men in Blue. Rohit Sharma (c), Shubman Gill (vc), Virat Kohli, Shreyas Iyer, KL Rahul (wk), Rishabh Pant (wk), Hardik Pandya, Axar Patel, Washington Sundar, Kuldeep Yadav, Harshit Rana, Mohammed Shami, Arshdeep Singh, Ravindra Jadeja, Varun Chakaravarthy.",2025-02-23T15:48:27.279308Z
10,1,"[{""start"": 8, ""end"": 9, ""text"": ""February 19"", ""labels"": [""Entity""]}, {""start"": 12, ""end"": 12, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 14, ""end"": 15, ""text"": ""New Zealand"", ""labels"": [""Entity""]}, {""start"": 17, ""end"": 17, ""text"": ""Karachi"", ""labels"": [""Entity""]}, {""start"": 56, ""end"": 56, ""text"": ""Pakistan"", ""labels"": [""Entity""]}, {""start"": 67, ""end"": 67, ""text"": ""India"", ""labels"": [""Entity""]}, {""start"": 69, ""end"": 69, ""text"": ""Australia"", ""labels"": [""Entity""]}, {""start"": 71, ""end"": 72, ""text"": ""South Africa"", ""labels"": [""Entity""]}, {""start"": 74, ""end"": 75, ""text"": ""New Zealand"", ""labels"": [""Entity""]}, {""start"": 77, ""end"": 77, ""text"": ""England"", ""labels"": [""Entity""]}, {""start"": 79, ""end"": 79, ""text"": ""Bangladesh"", ""labels"": [""Entity""]}, {""start"": 82, ""end"": 82, ""text"": ""Afghanistan"", ""labels"": [""Entity""]}, {""start"": 85, ""end"": 85, ""text"": ""their"", ""labels"": [""Pronoun""]}, {""start"": 96, ""end"": 98, ""text"": ""ODI World Cup"", ""labels"": [""Entity""]}, {""start"": 100, ""end"": 100, ""text"": ""Afghanistan"", ""labels"": [""Entity""]}, {""start"": 103, ""end"": 103, ""text"": ""its"", ""labels"": [""Pronoun""]}, {""start"": 112, ""end"": 113, ""text"": ""Sri Lanka"", ""labels"": [""Entity""]}]",2025-02-23T15:48:27.279308Z,132,180.0,"The 2025 ICC Champions Trophy will commence on February 19, with Pakistan facing New Zealand in Karachi. The tournament will feature eight teams divided into two groups of four. A total of 12 group-stage matches will be played, followed by the semifinals and final. As the host nation, Pakistan secured automatic qualification, while the remaining seven teams  India, Australia, South Africa, New Zealand, England, Bangladesh, and Afghanistan  earned their spots by finishing in the top seven at the 2023 ODI World Cup. Afghanistan will make its debut in the tournament, while former champion Sri Lanka failed to qualify.",2025-02-23T15:48:27.279308Z
