"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
3,"1","2025-02-23T11:44:54.849850Z",1,"[{""start"":82,""end"":90,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":98,""end"":109,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":113,""end"":120,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":124,""end"":135,""text"":""February 19"",""labels"":[""DATE""]},{""start"":151,""end"":155,""text"":""1998"",""labels"":[""DATE""]},{""start"":211,""end"":215,""text"":""2017"",""labels"":[""DATE""]},{""start"":217,""end"":226,""text"":""Australia"",""labels"":[""GPE""]},{""start"":231,""end"":236,""text"":""India"",""labels"":[""GPE""]},{""start"":259,""end"":266,""text"":""England"",""labels"":[""GPE""]},{""start"":42,""end"":52,""text"":""eight-year"",""labels"":[""CARDINAL""]},{""start"":246,""end"":251,""text"":""twice"",""labels"":[""CARDINAL""]},{""start"":4,""end"":7,""text"":""ICC"",""labels"":[""ORG""]},{""start"":8,""end"":24,""text"":""Champions Trophy"",""labels"":[""EVENT""]}]",116.105,"The ICC Champions Trophy returns after an eight-year gap, with defending champion Pakistan facing New Zealand in Karachi on February 19. Introduced in 1998 to support non-Test nations, it was discontinued after 2017. Australia and India have won twice, while England remains the only major team without a title.","2025-02-23T11:46:28.312868Z"
4,"1","2025-02-23T11:47:40.611716Z",2,"[{""start"":39,""end"":50,""text"":""eight years"",""labels"":[""CARDINAL""]},{""start"":4,""end"":7,""text"":""ICC"",""labels"":[""ORG""]},{""start"":8,""end"":24,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":76,""end"":84,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":92,""end"":103,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":107,""end"":114,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":118,""end"":129,""text"":""February 19"",""labels"":[""DATE""]},{""start"":153,""end"":157,""text"":""1998"",""labels"":[""DATE""]},{""start"":217,""end"":219,""text"":""12"",""labels"":[""CARDINAL""]},{""start"":233,""end"":237,""text"":""2009"",""labels"":[""DATE""]},{""start"":252,""end"":257,""text"":""eight"",""labels"":[""CARDINAL""]},{""start"":292,""end"":296,""text"":""2025"",""labels"":[""DATE""]},{""start"":298,""end"":306,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":308,""end"":313,""text"":""India"",""labels"":[""GPE""]},{""start"":315,""end"":326,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":328,""end"":337,""text"":""Australia"",""labels"":[""GPE""]},{""start"":339,""end"":346,""text"":""England"",""labels"":[""GPE""]},{""start"":348,""end"":359,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":361,""end"":373,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":379,""end"":389,""text"":""Bangladesh"",""labels"":[""GPE""]},{""start"":420,""end"":429,""text"":""Sri Lanka"",""labels"":[""GPE""]},{""start"":434,""end"":445,""text"":""West Indies"",""labels"":[""GPE""]}]",122.105,"The ICC Champions Trophy returns after eight years, with defending champion Pakistan facing New Zealand in Karachi on February 19. Initially launched in 1998 to support non-Test nations, early editions featured up to 12 teams. Since 2009, only the top eight ICC-ranked teams participate. For 2025, Pakistan, India, Afghanistan, Australia, England, New Zealand, South Africa, and Bangladesh qualified, while past winners Sri Lanka and West Indies missed out.","2025-02-23T11:47:40.611736Z"
5,"1","2025-02-23T11:49:53.286479Z",3,"[{""start"":0,""end"":12,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":28,""end"":34,""text"":""second"",""labels"":[""CARDINAL""]},{""start"":60,""end"":63,""text"":""ICC"",""labels"":[""ORG""]},{""start"":64,""end"":85,""text"":""Champions Trophy 2025"",""labels"":[""EVENT""]},{""start"":103,""end"":114,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":118,""end"":125,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":129,""end"":135,""text"":""Friday"",""labels"":[""DATE""]},{""start"":141,""end"":148,""text"":""Proteas"",""labels"":[""GPE""]},{""start"":197,""end"":201,""text"":""1998"",""labels"":[""DATE""]},{""start"":219,""end"":230,""text"":""West Indies"",""labels"":[""GPE""]},{""start"":245,""end"":257,""text"":""Temba Bavuma"",""labels"":[""PER""]},{""start"":263,""end"":276,""text"":""Tony de Zorzi"",""labels"":[""PER""]},{""start"":278,""end"":290,""text"":""Marco Jansen"",""labels"":[""PER""]},{""start"":292,""end"":308,""text"":""Heinrich Klaasen"",""labels"":[""PER""]},{""start"":310,""end"":324,""text"":""Keshav Maharaj"",""labels"":[""PER""]},{""start"":326,""end"":339,""text"":""Aiden Markram"",""labels"":[""PER""]},{""start"":341,""end"":353,""text"":""David Miller"",""labels"":[""PER""]},{""start"":355,""end"":367,""text"":""Wiaan Mulder"",""labels"":[""PER""]},{""start"":369,""end"":380,""text"":""Lungi Ngidi"",""labels"":[""PER""]},{""start"":382,""end"":395,""text"":""Kagiso Rabada"",""labels"":[""PER""]},{""start"":397,""end"":411,""text"":""Ryan Rickelton"",""labels"":[""PER""]},{""start"":413,""end"":427,""text"":""Tabraiz Shamsi"",""labels"":[""PER""]},{""start"":429,""end"":443,""text"":""Tristan Stubbs"",""labels"":[""PER""]},{""start"":445,""end"":466,""text"":""Rassie van der Dussen"",""labels"":[""PER""]},{""start"":468,""end"":480,""text"":""Corbin Bosch"",""labels"":[""PER""]}]",129.528,"South Africa will bid for a second title when it begins its ICC Champions Trophy 2025 campaign against Afghanistan in Karachi on Friday. The Proteas won the tournament in the inaugural edition, in 1998, after they beat West Indies in the final. Temba Bavuma (c), Tony de Zorzi, Marco Jansen, Heinrich Klaasen, Keshav Maharaj, Aiden Markram, David Miller, Wiaan Mulder, Lungi Ngidi, Kagiso Rabada, Ryan Rickelton, Tabraiz Shamsi, Tristan Stubbs, Rassie van der Dussen, Corbin Bosch.","2025-02-23T11:49:53.286500Z"
6,"1","2025-02-23T11:52:11.833359Z",4,"[{""start"":0,""end"":10,""text"":""Bangladesh"",""labels"":[""GPE""]},{""start"":29,""end"":50,""text"":""Champions Trophy 2025"",""labels"":[""EVENT""]},{""start"":25,""end"":28,""text"":""ICC"",""labels"":[""ORG""]},{""start"":86,""end"":91,""text"":""India"",""labels"":[""GPE""]},{""start"":95,""end"":100,""text"":""Dubai"",""labels"":[""LOC""]},{""start"":104,""end"":112,""text"":""Thursday"",""labels"":[""DATE""]},{""start"":114,""end"":124,""text"":""Bangladesh"",""labels"":[""GPE""]},{""start"":170,""end"":174,""text"":""2017"",""labels"":[""DATE""]},{""start"":230,""end"":235,""text"":""India"",""labels"":[""GPE""]},{""start"":237,""end"":258,""text"":""Nazmul Hossain Shanto"",""labels"":[""PER""]},{""start"":264,""end"":277,""text"":""Soumya Sarkar"",""labels"":[""PER""]},{""start"":279,""end"":291,""text"":""Tanzid Hasan"",""labels"":[""PER""]},{""start"":293,""end"":306,""text"":""Tawhid Hridoy"",""labels"":[""PER""]},{""start"":308,""end"":323,""text"":""Mushfiqur Rahim"",""labels"":[""PER""]},{""start"":325,""end"":337,""text"":""Mahmud Ullah"",""labels"":[""PER""]},{""start"":339,""end"":353,""text"":""Jaker Ali Anik"",""labels"":[""PER""]},{""start"":355,""end"":373,""text"":""Mehidy Hasan Miraz"",""labels"":[""PER""]},{""start"":375,""end"":389,""text"":""Rishad Hossain"",""labels"":[""PER""]},{""start"":391,""end"":403,""text"":""Taskin Ahmed"",""labels"":[""PER""]},{""start"":405,""end"":422,""text"":""Mustafizur Rahman"",""labels"":[""PER""]},{""start"":424,""end"":443,""text"":""Parvez Hossain Emon"",""labels"":[""PER""]},{""start"":445,""end"":456,""text"":""Nasum Ahmed"",""labels"":[""PER""]},{""start"":458,""end"":476,""text"":""Tanzim Hasan Sakib"",""labels"":[""PER""]},{""start"":478,""end"":488,""text"":""Nahid Rana"",""labels"":[""PER""]}]",121.046,"Bangladesh will gets its ICC Champions Trophy 2025 campaign underway when it takes on India in Dubai on Thursday. Bangladeshs best performance in the competition came in 2017, when it qualified for the semifinal, where it lost to India. Nazmul Hossain Shanto (c), Soumya Sarkar, Tanzid Hasan, Tawhid Hridoy, Mushfiqur Rahim, Mahmud Ullah, Jaker Ali Anik, Mehidy Hasan Miraz, Rishad Hossain, Taskin Ahmed, Mustafizur Rahman, Parvez Hossain Emon, Nasum Ahmed, Tanzim Hasan Sakib, Nahid Rana","2025-02-23T11:52:11.833382Z"
7,"1","2025-02-23T11:54:11.007582Z",5,"[{""start"":5,""end"":13,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":29,""end"":45,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":25,""end"":28,""text"":""ICC"",""labels"":[""ORG""]},{""start"":63,""end"":72,""text"":""Wednesday"",""labels"":[""DATE""]},{""start"":81,""end"":92,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":96,""end"":103,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":109,""end"":113,""text"":""2017"",""labels"":[""DATE""]},{""start"":128,""end"":142,""text"":""Sarfaraz Ahmed"",""labels"":[""PER""]},{""start"":183,""end"":188,""text"":""India"",""labels"":[""GPE""]},{""start"":214,""end"":229,""text"":""Mohammad Rizwan"",""labels"":[""PER""]},{""start"":273,""end"":276,""text"":""ICC"",""labels"":[""ORG""]},{""start"":284,""end"":299,""text"":""Mohammad Rizwan"",""labels"":[""PER""]},{""start"":305,""end"":315,""text"":""Babar Azam"",""labels"":[""PER""]},{""start"":317,""end"":329,""text"":""Fakhar Zaman"",""labels"":[""PER""]},{""start"":331,""end"":344,""text"":""Kamran Ghulam"",""labels"":[""PER""]},{""start"":346,""end"":358,""text"":""Saud Shakeel"",""labels"":[""PER""]},{""start"":360,""end"":372,""text"":""Tayyab Tahir"",""labels"":[""PER""]},{""start"":374,""end"":387,""text"":""Faheem Ashraf"",""labels"":[""PER""]},{""start"":389,""end"":402,""text"":""Khushdil Shah"",""labels"":[""PER""]},{""start"":404,""end"":419,""text"":""Salman Ali Agha"",""labels"":[""PER""]},{""start"":421,""end"":431,""text"":""Usman Khan"",""labels"":[""PER""]},{""start"":433,""end"":444,""text"":""Abrar Ahmed"",""labels"":[""PER""]},{""start"":446,""end"":456,""text"":""Haris Rauf"",""labels"":[""PER""]},{""start"":458,""end"":474,""text"":""Mohammad Hasnain"",""labels"":[""PER""]},{""start"":476,""end"":487,""text"":""Naseem Shah"",""labels"":[""PER""]},{""start"":489,""end"":508,""text"":""Shaheen Shah Afridi"",""labels"":[""PER""]}]",117.336,"Host Pakistan begins its ICC Champions Trophy title defense on Wednesday against New Zealand in Karachi. The 2017 triumph under Sarfaraz Ahmed remains its only title, secured against India in the final. This time, Mohammad Rizwan leads the side in front of home fans at an ICC event. Mohammad Rizwan (c), Babar Azam, Fakhar Zaman, Kamran Ghulam, Saud Shakeel, Tayyab Tahir, Faheem Ashraf, Khushdil Shah, Salman Ali Agha, Usman Khan, Abrar Ahmed, Haris Rauf, Mohammad Hasnain, Naseem Shah, Shaheen Shah Afridi.","2025-02-23T11:54:11.007611Z"
8,"1","2025-02-23T11:56:29.998294Z",6,"[{""start"":0,""end"":7,""text"":""England"",""labels"":[""GPE""]},{""start"":54,""end"":57,""text"":""ICC"",""labels"":[""ORG""]},{""start"":58,""end"":74,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":94,""end"":98,""text"":""2025"",""labels"":[""DATE""]},{""start"":116,""end"":125,""text"":""Australia"",""labels"":[""GPE""]},{""start"":129,""end"":136,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":140,""end"":151,""text"":""February 26"",""labels"":[""DATE""]},{""start"":153,""end"":168,""text"":""The Three Lions"",""labels"":[""GPE""]},{""start"":180,""end"":189,""text"":""runner-up"",""labels"":[""ORDINAL""]},{""start"":190,""end"":195,""text"":""twice"",""labels"":[""CARDINAL""]},{""start"":200,""end"":204,""text"":""2013"",""labels"":[""DATE""]},{""start"":209,""end"":213,""text"":""2004"",""labels"":[""DATE""]},{""start"":242,""end"":249,""text"":""England"",""labels"":[""LOC""]},{""start"":295,""end"":299,""text"":""2017"",""labels"":[""DATE""]},{""start"":304,""end"":308,""text"":""2009"",""labels"":[""DATE""]},{""start"":310,""end"":321,""text"":""Jos Buttler"",""labels"":[""PER""]},{""start"":327,""end"":339,""text"":""Jofra Archer"",""labels"":[""PER""]},{""start"":341,""end"":353,""text"":""Gus Atkinson"",""labels"":[""PER""]},{""start"":355,""end"":365,""text"":""Tom Banton"",""labels"":[""PER""]},{""start"":367,""end"":378,""text"":""Harry Brook"",""labels"":[""PER""]},{""start"":380,""end"":393,""text"":""Brydon Carse,"",""labels"":[""PER""]},{""start"":394,""end"":405,""text"":""Ben Duckett"",""labels"":[""PER""]},{""start"":407,""end"":420,""text"":""Jamie Overton"",""labels"":[""PER""]},{""start"":422,""end"":433,""text"":""Jamie Smith"",""labels"":[""PER""]},{""start"":435,""end"":451,""text"":""Liam Livingstone"",""labels"":[""PER""]},{""start"":453,""end"":464,""text"":""Adil Rashid"",""labels"":[""PER""]},{""start"":466,""end"":474,""text"":""Joe Root"",""labels"":[""PER""]},{""start"":476,""end"":489,""text"":""Saqib Mahmood"",""labels"":[""PER""]},{""start"":491,""end"":500,""text"":""Phil Salt"",""labels"":[""PER""]},{""start"":502,""end"":511,""text"":""Mark Wood"",""labels"":[""PER""]}]",136.445,"England will hope it can finally get its hands on the ICC Champions Trophy when it begins the 2025 campaign against Australia in Karachi on February 26. The Three Lions have ended runner-up twice, in 2013 and 2004  the two editions played in England. The side has also reached the semifinals in 2017 and 2009. Jos Buttler (c), Jofra Archer, Gus Atkinson, Tom Banton, Harry Brook, Brydon Carse, Ben Duckett, Jamie Overton, Jamie Smith, Liam Livingstone, Adil Rashid, Joe Root, Saqib Mahmood, Phil Salt, Mark Wood.","2025-02-23T11:56:29.998314Z"
9,"1","2025-02-23T11:58:46.041029Z",7,"[{""start"":321,""end"":337,""text"":""Mitchell Santner"",""labels"":[""PER""]},{""start"":343,""end"":360,""text"":""Michael Bracewell"",""labels"":[""PER""]},{""start"":362,""end"":374,""text"":""Mark Chapman"",""labels"":[""PER""]},{""start"":376,""end"":388,""text"":""Devon Conway"",""labels"":[""PER""]},{""start"":390,""end"":405,""text"":""Lockie Ferguson"",""labels"":[""PER""]},{""start"":407,""end"":417,""text"":""Matt Henry"",""labels"":[""PER""]},{""start"":419,""end"":429,""text"":""Tom Latham"",""labels"":[""PER""]},{""start"":431,""end"":445,""text"":""Daryl Mitchell"",""labels"":[""PER""]},{""start"":447,""end"":459,""text"":""Will ORourke"",""labels"":[""PER""]},{""start"":461,""end"":475,""text"":""Glenn Phillips"",""labels"":[""PER""]},{""start"":477,""end"":492,""text"":""Rachin Ravindra"",""labels"":[""PER""]},{""start"":494,""end"":506,""text"":""Nathan Smith"",""labels"":[""PER""]},{""start"":508,""end"":523,""text"":""Kane Williamson"",""labels"":[""PER""]},{""start"":525,""end"":535,""text"":""Will Young"",""labels"":[""PER""]},{""start"":537,""end"":548,""text"":""Jacob Duffy"",""labels"":[""PER""]},{""start"":0,""end"":11,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":20,""end"":26,""text"":""second"",""labels"":[""CARDINAL""]},{""start"":42,""end"":45,""text"":""ICC"",""labels"":[""ORG""]},{""start"":46,""end"":62,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":76,""end"":79,""text"":""ICC"",""labels"":[""ORG""]},{""start"":80,""end"":88,""text"":""Knockout"",""labels"":[""EVENT""]},{""start"":161,""end"":170,""text"":""runner-up"",""labels"":[""ORDINAL""]},{""start"":185,""end"":189,""text"":""2009"",""labels"":[""DATE""]},{""start"":209,""end"":218,""text"":""Australia"",""labels"":[""GPE""]},{""start"":233,""end"":247,""text"":""The Black Caps"",""labels"":[""GPE""]},{""start"":307,""end"":310,""text"":""two"",""labels"":[""CARDINAL""]}]",123.722,"New Zealand won the second edition of the ICC Champions Trophy, then called ICC Knockout, but has had to wait to get its hands on the trophy since. It managed a runner-up finish in the 2009 edition, losing to Australia in the final. The Black Caps have failed to make it past the group stage since the last two editions. Mitchell Santner (c), Michael Bracewell, Mark Chapman, Devon Conway, Lockie Ferguson, Matt Henry, Tom Latham, Daryl Mitchell, Will ORourke, Glenn Phillips, Rachin Ravindra, Nathan Smith, Kane Williamson, Will Young, Jacob Duffy.","2025-02-23T11:58:46.041050Z"
10,"1","2025-02-23T12:00:14.712011Z",8,"[{""start"":0,""end"":16,""text"":""Less than a week"",""labels"":[""DATE""]},{""start"":59,""end"":69,""text"":""tri-series"",""labels"":[""EVENT""]},{""start"":71,""end"":79,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":84,""end"":95,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":114,""end"":139,""text"":""ICC Champions Trophy 2025"",""labels"":[""EVENT""]},{""start"":143,""end"":152,""text"":""Wednesday"",""labels"":[""DATE""]},{""start"":160,""end"":181,""text"":""National Bank Stadium"",""labels"":[""LOC""]},{""start"":185,""end"":192,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":205,""end"":210,""text"":""Kiwis"",""labels"":[""GPE""]},{""start"":244,""end"":248,""text"":""week"",""labels"":[""DATE""]},{""start"":286,""end"":295,""text"":""Wednesday"",""labels"":[""DATE""]},{""start"":332,""end"":348,""text"":""Champions Trophy"",""labels"":[""EVENT""]},{""start"":382,""end"":390,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":415,""end"":430,""text"":""Mohammad Rizwan"",""labels"":[""PER""]},{""start"":446,""end"":456,""text"":""ODI series"",""labels"":[""EVENT""]},{""start"":465,""end"":474,""text"":""Australia"",""labels"":[""GPE""]},{""start"":479,""end"":491,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":493,""end"":499,""text"":""Rizwan"",""labels"":[""PER""]}]",87.067,"Less than a week after squaring up against each other in a tri-series, Pakistan and New Zealand will kick off the ICC Champions Trophy 2025 on Wednesday at the National Bank Stadium in Karachi. Though the Kiwis trounced the host twice within a week, it will be the high-stakes clash on Wednesday they would want to win to get their Champions Trophy campaign to a winning start. For Pakistan, life under new captain Mohammad Rizwan has begun with ODI series wins in Australia and South Africa. Rizwan would want the side to carry that momentum and begin its title defence in style.","2025-02-23T12:00:14.712033Z"
11,"1","2025-02-23T12:02:09.480125Z",9,"[{""start"":0,""end"":5,""text"":""India"",""labels"":[""GPE""]},{""start"":21,""end"":26,""text"":""third"",""labels"":[""ORDINAL""]},{""start"":52,""end"":77,""text"":""ICC Champions Trophy 2025"",""labels"":[""EVENT""]},{""start"":95,""end"":105,""text"":""Bangladesh"",""labels"":[""GPE""]},{""start"":109,""end"":114,""text"":""Dubai"",""labels"":[""LOC""]},{""start"":118,""end"":126,""text"":""Thursday"",""labels"":[""DATE""]},{""start"":128,""end"":133,""text"":""India"",""labels"":[""GPE""]},{""start"":156,""end"":160,""text"":""2002"",""labels"":[""DATE""]},{""start"":180,""end"":189,""text"":""Sri Lanka"",""labels"":[""GPE""]},{""start"":228,""end"":236,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":195,""end"":199,""text"":""2013"",""labels"":[""DATE""]},{""start"":253,""end"":257,""text"":""2017"",""labels"":[""DATE""]},{""start"":282,""end"":291,""text"":""Australia"",""labels"":[""GPE""]},{""start"":304,""end"":324,""text"":""ICC Champions Trophy"",""labels"":[""EVENT""]},{""start"":346,""end"":357,""text"":""Men in Blue"",""labels"":[""GPE""]},{""start"":359,""end"":371,""text"":""Rohit Sharma"",""labels"":[""PER""]},{""start"":377,""end"":389,""text"":""Shubman Gill"",""labels"":[""PER""]},{""start"":396,""end"":407,""text"":""Virat Kohli"",""labels"":[""PER""]},{""start"":409,""end"":421,""text"":""Shreyas Iyer"",""labels"":[""PER""]},{""start"":423,""end"":431,""text"":""KL Rahul"",""labels"":[""PER""]},{""start"":438,""end"":450,""text"":""Rishabh Pant"",""labels"":[""PER""]},{""start"":457,""end"":470,""text"":""Hardik Pandya"",""labels"":[""PER""]},{""start"":472,""end"":482,""text"":""Axar Patel"",""labels"":[""PER""]},{""start"":484,""end"":501,""text"":""Washington Sundar"",""labels"":[""PER""]},{""start"":503,""end"":516,""text"":""Kuldeep Yadav"",""labels"":[""PER""]},{""start"":518,""end"":530,""text"":""Harshit Rana"",""labels"":[""PER""]},{""start"":532,""end"":546,""text"":""Mohammed Shami"",""labels"":[""PER""]},{""start"":548,""end"":562,""text"":""Arshdeep Singh"",""labels"":[""PER""]},{""start"":564,""end"":579,""text"":""Ravindra Jadeja"",""labels"":[""PER""]},{""start"":581,""end"":600,""text"":""Varun Chakaravarthy"",""labels"":[""PER""]}]",112.738,"India will bid for a third title when it begins its ICC Champions Trophy 2025 campaign against Bangladesh in Dubai on Thursday. India won the tournament in 2002 (joint-winner with Sri Lanka) and 2013, before losing to archrival Pakistan in the final in 2017. Only two-time champion Australia has won the ICC Champions Trophy as many times as the Men in Blue. Rohit Sharma (c), Shubman Gill (vc), Virat Kohli, Shreyas Iyer, KL Rahul (wk), Rishabh Pant (wk), Hardik Pandya, Axar Patel, Washington Sundar, Kuldeep Yadav, Harshit Rana, Mohammed Shami, Arshdeep Singh, Ravindra Jadeja, Varun Chakaravarthy.","2025-02-23T12:02:09.480152Z"
12,"1","2025-02-23T12:03:56.964765Z",10,"[{""start"":4,""end"":8,""text"":""2025"",""labels"":[""DATE""]},{""start"":9,""end"":29,""text"":""ICC Champions Trophy"",""labels"":[""EVENT""]},{""start"":47,""end"":58,""text"":""February 19"",""labels"":[""DATE""]},{""start"":65,""end"":73,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":81,""end"":92,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":96,""end"":103,""text"":""Karachi"",""labels"":[""LOC""]},{""start"":109,""end"":119,""text"":""tournament"",""labels"":[""EVENT""]},{""start"":133,""end"":138,""text"":""eight"",""labels"":[""CARDINAL""]},{""start"":158,""end"":161,""text"":""two"",""labels"":[""CARDINAL""]},{""start"":172,""end"":176,""text"":""four"",""labels"":[""CARDINAL""]},{""start"":189,""end"":191,""text"":""12"",""labels"":[""CARDINAL""]},{""start"":286,""end"":294,""text"":""Pakistan"",""labels"":[""GPE""]},{""start"":361,""end"":366,""text"":""India"",""labels"":[""GPE""]},{""start"":368,""end"":377,""text"":""Australia"",""labels"":[""GPE""]},{""start"":379,""end"":391,""text"":""South Africa"",""labels"":[""GPE""]},{""start"":393,""end"":404,""text"":""New Zealand"",""labels"":[""GPE""]},{""start"":406,""end"":413,""text"":""England"",""labels"":[""GPE""]},{""start"":415,""end"":425,""text"":""Bangladesh"",""labels"":[""GPE""]},{""start"":431,""end"":442,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":500,""end"":518,""text"":""2023 ODI World Cup"",""labels"":[""EVENT""]},{""start"":520,""end"":531,""text"":""Afghanistan"",""labels"":[""GPE""]},{""start"":593,""end"":602,""text"":""Sri Lanka"",""labels"":[""GPE""]}]",102.273,"The 2025 ICC Champions Trophy will commence on February 19, with Pakistan facing New Zealand in Karachi. The tournament will feature eight teams divided into two groups of four. A total of 12 group-stage matches will be played, followed by the semifinals and final. As the host nation, Pakistan secured automatic qualification, while the remaining seven teams  India, Australia, South Africa, New Zealand, England, Bangladesh, and Afghanistan  earned their spots by finishing in the top seven at the 2023 ODI World Cup. Afghanistan will make its debut in the tournament, while former champion Sri Lanka failed to qualify.","2025-02-23T12:03:56.964786Z"
