word,ner
Pakistan,GPE
New Zealand,GPE
Karachi,LOC
February 19,DATE
1998,DATE
2017,DATE
Australia,GPE
India,GPE
England,GPE
eight-year,CARDINAL
twice,CARDINAL
ICC,ORG
Champions Trophy,EVENT
eight years,CARDINAL
ICC,ORG
Champions Trophy,EVENT
Pakistan,GPE
New Zealand,GPE
Karachi,LOC
February 19,DATE
1998,DATE
12,CARDINAL
2009,DATE
eight,CARDINAL
2025,DATE
Pakistan,GPE
India,GPE
Afghanistan,GPE
Australia,GPE
England,GPE
New Zealand,GPE
South Africa,GPE
Bangladesh,GPE
Sri Lanka,GPE
West Indies,GPE
South Africa,GPE
second,CARDINAL
ICC,ORG
Champions Trophy 2025,EVENT
Afghanistan,GPE
Karachi,LOC
Friday,DATE
Proteas,GPE
1998,DATE
West Indies,GPE
Temba Bavuma,PER
Tony de Zorzi,PER
Marco Jansen,PER
Heinrich Klaasen,PER
Keshav Maharaj,PER
Aiden Markram,PER
David Miller,PER
Wiaan Mulder,PER
Lungi Ngidi,PER
Kagiso Rabada,PER
Ryan Rickelton,PER
Tabraiz Shamsi,PER
Tristan Stubbs,PER
Rassie van der Dussen,PER
Corbin Bosch,PER
Bangladesh,GPE
Champions Trophy 2025,EVENT
ICC,ORG
India,GPE
Dubai,LOC
Thursday,DATE
Bangladesh,GPE
2017,DATE
India,GPE
Nazmul Hossain Shanto,PER
Soumya Sarkar,PER
Tanzid Hasan,PER
Tawhid Hridoy,PER
Mushfiqur Rahim,PER
Mahmud Ullah,PER
Jaker Ali Anik,PER
Mehidy Hasan Miraz,PER
Rishad Hossain,PER
Taskin Ahmed,PER
Mustafizur Rahman,PER
Parvez Hossain Emon,PER
Nasum Ahmed,PER
Tanzim Hasan Sakib,PER
Nahid Rana,PER
Pakistan,GPE
Champions Trophy,EVENT
ICC,ORG
Wednesday,DATE
New Zealand,GPE
Karachi,LOC
2017,DATE
Sarfaraz Ahmed,PER
India,GPE
Mohammad Rizwan,PER
ICC,ORG
Mohammad Rizwan,PER
Babar Azam,PER
Fakhar Zaman,PER
Kamran Ghulam,PER
Saud Shakeel,PER
Tayyab Tahir,PER
Faheem Ashraf,PER
Khushdil Shah,PER
Salman Ali Agha,PER
Usman Khan,PER
Abrar Ahmed,PER
Haris Rauf,PER
Mohammad Hasnain,PER
Naseem Shah,PER
Shaheen Shah Afridi,PER
England,GPE
ICC,ORG
Champions Trophy,EVENT
2025,DATE
Australia,GPE
Karachi,LOC
February 26,DATE
The Three Lions,GPE
runner-up,ORDINAL
twice,CARDINAL
2013,DATE
2004,DATE
England,LOC
2017,DATE
2009,DATE
Jos Buttler,PER
Jofra Archer,PER
Gus Atkinson,PER
Tom Banton,PER
Harry Brook,PER
"Brydon Carse,",PER
Ben Duckett,PER
Jamie Overton,PER
Jamie Smith,PER
Liam Livingstone,PER
Adil Rashid,PER
Joe Root,PER
Saqib Mahmood,PER
Phil Salt,PER
Mark Wood,PER
Mitchell Santner,PER
Michael Bracewell,PER
Mark Chapman,PER
Devon Conway,PER
Lockie Ferguson,PER
Matt Henry,PER
Tom Latham,PER
